tick,t,ms_per_tick,fauna_n,flora_n,capacity,free_slots,flora_mass,flora_mass_mean,struct_mean,struct_std,uptake_mean,uptake_std,cells_occupied,per_cell_max,per_cell_mean,shared_cell_frac,struct_temp_corr,uptake_nutr_corr,uptake_mass_corr,flora_band0,struct_band0,flora_band1,struct_band1,flora_band2,struct_band2,flora_band3,struct_band3,flora_band4,struct_band4,flora_band5,struct_band5,flora_band6,struct_band6,flora_band7,struct_band7,nutr_free,nutr_in_flora,nutr_in_detritus,nutr_total,nutr_added,nutr_lost,nutr_unaccounted,detritus_mass,detritus_cells,detritus_struct,fauna_mass,label
10000,200.0,2.8066,13,148,256,95,0.04705322296649683,0.00031792718220605967,0.5644590971437661,0.13887320795592883,0.6587376854306942,0.17982841355639478,145,3,1.0206896551724138,0.033783783783783786,0.14646670620875504,0.00562106726148904,-0.088930289885431,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,25,0.5275245940685273,19,0.5679274028853366,16,0.5553875342011452,21,0.5787470567794073,20,0.5807874828577042,0.0006188615512273134,0.0007267185666267255,9.198919326832699e-06,0.0013547790371808716,0.0006553599999999808,2.8785370783151146e-06,0.0007022975742592059,0.0010457116065936134,95,0.9921498894691467,9.80247821537757,bas1
10500,210.0,2.8114,13,148,256,95,0.04740172173114843,0.00032028190358884075,0.5644590971437661,0.13887320795592883,0.6587376854306942,0.17982841355639478,145,3,1.0206896551724138,0.033783783783783786,0.14951751256897208,0.02084278916595678,-0.09056362887671107,21,0.5462521343004136,15,0.6007227341334025,11,0.583948785608465,25,0.5275245940685273,19,0.5679274028853366,16,0.5553875342011452,21,0.5787470567794073,20,0.5807874828577042,0.0006503081415163694,0.000731674303769427,4.974565499038749e-06,0.0013869570107848351,0.0006881279999999638,3.3027323548243727e-06,0.0007021317431396958,0.0008427914161401873,100,0.9948861002922058,9.811726173581599,bas1
11000,220.0,2.817,13,151,256,92,0.04777357129569282,0.00031638126685889286,0.5635326502733673,0.1402937689089816,0.6589332262411812,0.17993433272258139,148,3,1.0202702702702702,0.033112582781456956,0.15971356283241175,0.02351841083474463,-0.09044074299483278,21,0.5462521343004136,16,0.6125096529722214,11,0.583948785608465,25,0.5275245940685273,19,0.5679274028853366,17,0.5463620617109186,21,0.5787470567794073,21,0.5703793111301604,0.0006794834053580104,0.0007369840336356684,2.943319832904876e-06,0.0014194107588265837,0.0007208959999999467,3.5069129524367304e-06,0.0007020216717790737,0.0007106887843590926,103,0.9968633651733398,9.81943242529395,bas1
11500,230.0,2.8215,13,151,256,92,0.047791377332032425,0.0003164991876293538,0.5631915370360115,0.14071957495287582,0.6598747802885953,0.18006768079311547,148,3,1.0202702702702702,0.033112582781456956,0.15896985869346,0.023046247979762933,-0.0974356404223977,21,0.5462521343004136,16,0.6125096529722214,11,0.583948785608465,25,0.5275245940685273,18,0.5764942599667443,17,0.5463620617109186,21,0.5787470567794073,22,0.5609173368323933,0.0007094975075078462,0.0007349570993769258,7.361495449662304e-06,0.0014518161023344342,0.0007536639999999297,3.846483956962259e-06,0.0007019985862914668,0.0009188543756124545,104,0.9933103322982788,9.825740156582844,bas1
12000,240.0,2.826,13,152,256,91,0.0477477947351872,0.0003141302285209684,0.5634130115963911,0.14004757308989396,0.6631140520698146,0.17883122310660052,149,3,1.0201342281879195,0.03289473684210526,0.1882048317783441,0.04716526665007956,-0.10665049735935306,22,0.5468709658492695,16,0.6125096529722214,11,0.583948785608465,25,0.5275245940685273,19,0.5704496346021953,16,0.5539686195552349,21,0.5787470567794073,22,0.5609173368323933,0.0007432608606572229,0.0007316657511819926,8.548895847366843e-06,0.0014834755076865824,0.0007864319999999126,4.630387271904509e-06,0.0007016738949585743,0.001046199304120421,110,0.9920434355735779,9.830776762045604,bas1
12500,250.0,2.8281,13,152,256,91,0.04789506068118499,0.0003150990834288486,0.5625770407679834,0.14027311565911452,0.6621017032548001,0.17807593492971793,149,3,1.0201342281879195,0.03289473684210526,0.2009187979961824,0.1380147891250024,-0.11078798452009934,22,0.5468709658492695,16,0.6125096529722214,11,0.583948785608465,25,0.5275245940685273,19,0.5637618679749338,16,0.5539686195552349,21,0.5787470567794073,22,0.5609173368323933,0.0007749249305779263,0.0007336129825025216,7.006236171019698e-06,0.0015155441492514677,0.0008191999999998956,5.251470292997048e-06,0.0007015956195445692,0.0010713918726708016,113,0.9927802681922913,9.83465702172902,bas1
13000,260.0,2.8353,13,153,256,90,0.04836746164801298,0.00031612720031381033,0.561311196073208,0.14068227052045615,0.6602578743610507,0.1789428178756626,150,3,1.02,0.032679738562091505,0.20054198050278588,0.14513226146242203,-0.08962981429507463,22,0.5468709658492695,16,0.6125096529722214,11,0.583948785608465,26,0.5214237559300202,19,0.5637618679749338,16,0.5539686195552349,21,0.5787470567794073,22,0.5609173368323933,0.0008032755391543444,0.0007403399066620148,4.053650964280208e-06,0.0015476690967806393,0.0008519679999998785,5.54961390876708e-06,0.0007012507106895279,0.0009015354973840317,119,0.9959596395492554,9.837779928782016,bas1
13500,270.0,2.8417,13,153,256,90,0.048871575825614855,0.00031942206421970494,0.561311196073208,0.14068227052045615,0.6602578743610507,0.1789428178756626,150,3,1.02,0.032679738562091505,0.18425016210548803,0.14745960939165198,-0.0897881768830949,22,0.5468709658492695,16,0.6125096529722214,11,0.583948785608465,26,0.5214237559300202,19,0.5637618679749338,16,0.5539686195552349,21,0.5787470567794073,22,0.5609173368323933,0.000829970496455274,0.0007475331040322627,2.5996612635971536e-06,0.001580103261751134,0.0008847359999998614,5.6964916055106875e-06,0.0007010637533567832,0.0007791042027633921,121,0.99777752161026,9.840315416960161,bas1
14000,280.0,2.8444,13,154,256,89,0.04914276480485569,0.0003191088623691928,0.5619634997535061,0.14212972921959313,0.657531620620133,0.179069247182555,151,3,1.0198675496688743,0.032467532467532464,0.1713650394759383,0.07997684205867396,-0.06696857938344983,23,0.5476772007734879,16,0.6125096529722214,12,0.6010625064373016,28,0.5113127540264811,16,0.5786733869463205,16,0.5539686195552349,21,0.5787470567794073,22,0.5609173368323933,0.00085642409322966,0.000750518262323256,5.794154894823002e-06,0.0016127365104477392,0.0009175039999998444,5.837677597090741e-06,0.0007010701880449855,0.0009175034397372883,124,0.9871264100074768,9.842301953754243,bas1
14500,290.0,2.8492,13,157,256,86,0.04968325254958472,0.00031645383789544407,0.560245636542132,0.1417474162518535,0.6588585186915793,0.17803329658961603,154,3,1.0194805194805194,0.03184713375796178,0.16054135773519565,0.12827301313102743,-0.08084168188495712,23,0.5476772007734879,16,0.6125096529722214,13,0.5931343986437871,28,0.5113127540264811,16,0.5786733869463205,17,0.5540865238975076,21,0.5787470567794073,23,0.5522781429083451,0.0008836288223440228,0.0007582120206934548,3.3664393449265173e-06,0.001645207282382404,0.0009502719999998273,6.081291963442388e-06,0.000701016574346019,0.0007671829787412321,127,0.9915684461593628,9.843780293492957,bas1
